transaction_id,customer_id,amount,transaction_hour,payment_method,location,device_type,is_new_device,location_mismatch,previous_failed_transactions,transactions_last_24h,account_age_days,customer_avg_transaction_amount,is_weekend,fraud_label
TXN0000031,CUST00190,8491.21,9,UPI,Hyderabad,Android,0,1,1,6,46,960.88,0,0
TXN0000032,CUST00563,4349.55,10,UPI,Noida,Web,0,0,1,4,290,592.18,0,0
TXN0000033,CUST01900,840.46,23,Credit Card,Gurugram,iOS,0,0,4,2,254,3114.87,0,0
TXN0000034,CUST01268,1325.48,23,UPI,Chennai,iOS,0,1,0,3,483,1658.73,0,0
TXN0000035,CUST01529,2081.76,19,Credit Card,Pune,Android,0,1,1,3,255,1617.01,0,0
TXN0000036,CUST00647,890.54,16,UPI,Jaipur,Android,1,0,0,1,337,4008.69,0,0
TXN0000037,CUST02069,9777.98,15,Credit Card,Kolkata,iOS,0,1,1,5,557,693.19,1,1
TXN0000038,CUST02215,2079.47,22,UPI,Kolkata,iOS,1,0,2,3,734,882.71,0,0
TXN0000039,CUST01298,120.57,18,UPI,Bengaluru,Android,0,0,1,6,10,3924.02,1,0
TXN0000040,CUST02436,2527.28,22,Credit Card,Mumbai,Android,0,0,1,5,142,1118.26,0,0
TXN0000041,CUST00601,1270.78,10,Debit Card,Jaipur,Android,0,0,2,5,125,896.79,1,0
TXN0000042,CUST02364,1670.06,11,Debit Card,Noida,Android,0,1,1,2,324,1943.51,0,0
TXN0000043,CUST02062,1245.04,20,Wallet,Gurugram,iOS,0,0,1,2,50,2627.17,0,0
TXN0000044,CUST00242,4034.3,7,Debit Card,Noida,Android,0,0,1,3,1393,1261.24,0,0
TXN0000045,CUST02042,5515.02,22,Debit Card,Noida,Android,0,0,0,4,330,1673.64,0,0
TXN0000046,CUST01364,2388.92,14,UPI,Mumbai,iOS,1,0,1,2,1070,1892.43,0,0
TXN0000047,CUST02140,1282.07,21,UPI,Hyderabad,Android,0,0,1,2,1531,2227.38,0,0
TXN0000048,CUST01391,1727.11,11,Debit Card,Pune,iOS,0,0,0,5,136,2164.38,1,0
TXN0000049,CUST01479,1835.63,18,UPI,Noida,Web,0,0,0,2,410,2003.63,1,0
TXN0000050,CUST00776,806.83,14,UPI,Mumbai,Android,0,0,0,1,2106,826.0,0,0
TXN0000051,CUST00035,3211.43,16,UPI,Noida,iOS,0,0,3,4,1032,1414.26,1,0
TXN0000052,CUST02254,2851.45,14,UPI,Delhi,Android,0,0,0,2,26,784.63,0,0
TXN0000053,CUST01956,8399.97,22,Debit Card,Pune,Android,0,0,1,7,2073,3046.52,1,0
TXN0000054,CUST01586,6316.32,17,UPI,Noida,iOS,1,0,0,4,14,1225.19,0,0
TXN0000055,CUST01022,906.75,9,UPI,Noida,iOS,0,0,1,4,20,1716.05,0,0
TXN0000056,CUST01130,4088.12,21,UPI,Kolkata,iOS,0,0,1,5,620,1491.72,1,0
TXN0000057,CUST01501,695.47,10,Debit Card,Kolkata,Web,0,0,0,3,602,1130.73,1,0
TXN0000058,CUST00703,3610.04,12,Debit Card,Jaipur,Android,0,0,0,3,1052,1428.02,1,0
TXN0000059,CUST02450,1073.77,6,UPI,Gurugram,iOS,0,0,2,3,217,740.99,0,0
TXN0000060,CUST01580,646.96,21,Debit Card,Mumbai,iOS,0,0,1,2,396,1116.11,1,0
TXN0000061,CUST00162,2381.74,10,UPI,Delhi,Android,0,1,1,6,1157,1455.62,0,0
TXN0000062,CUST00202,124.09,9,Debit Card,Mumbai,Web,0,1,0,2,845,2230.86,0,0
TXN0000063,CUST01982,312.49,21,Debit Card,Bengaluru,Android,0,0,1,6,331,899.28,0,0
TXN0000064,CUST00996,1507.26,19,Net Banking,Gurugram,iOS,0,0,0,2,1146,4293.08,0,0
TXN0000065,CUST02318,1954.68,7,UPI,Jaipur,iOS,0,0,0,9,395,597.82,0,0
TXN0000066,CUST00816,1244.17,19,UPI,Kolkata,Android,0,0,1,1,453,3300.85,0,0
TXN0000067,CUST00456,370.96,21,UPI,Chennai,Android,0,0,0,2,529,796.77,0,0
TXN0000068,CUST01276,794.45,5,UPI,Chennai,Android,0,0,1,4,279,646.97,0,0
TXN0000069,CUST01017,2661.78,19,UPI,Pune,Android,0,1,1,3,203,1065.1,0,0
TXN0000070,CUST02344,3220.6,15,UPI,Mumbai,Android,0,0,0,6,681,2382.87,1,0
TXN0000071,CUST00338,1771.03,17,UPI,Delhi,Android,0,0,1,8,102,498.32,0,0
TXN0000072,CUST00879,5723.73,14,Wallet,Delhi,Android,0,1,1,4,416,1102.0,0,0
TXN0000073,CUST01077,2678.3,18,UPI,Bengaluru,Android,0,0,0,3,230,1841.8,1,0
TXN0000074,CUST00792,852.43,1,Net Banking,Delhi,Android,0,0,1,6,287,1235.4,1,0
TXN0000075,CUST02265,1359.73,19,Debit Card,Gurugram,Android,0,0,1,6,371,1297.2,0,0
TXN0000076,CUST00764,442.6,1,Wallet,Jaipur,iOS,0,0,1,3,136,2193.28,0,0
TXN0000077,CUST02236,1615.51,13,Wallet,Chennai,iOS,0,0,0,2,403,2827.63,0,0
TXN0000078,CUST00380,5473.33,8,Debit Card,Gurugram,Android,0,0,0,2,796,1329.35,1,0
TXN0000079,CUST00493,3571.83,19,Debit Card,Chennai,Android,0,0,0,4,160,1998.61,1,0
TXN0000080,CUST01181,7314.04,10,UPI,Delhi,Web,0,0,2,3,1150,2382.47,0,0
TXN0000081,CUST02063,1329.63,13,Credit Card,Kolkata,Android,0,0,0,8,341,730.59,0,0
TXN0000082,CUST00065,6916.34,13,Wallet,Kolkata,iOS,0,0,0,3,820,1493.69,0,0
TXN0000083,CUST01368,1483.62,19,UPI,Hyderabad,Android,1,0,0,5,683,535.62,0,0
TXN0000084,CUST01153,7841.04,14,UPI,Bengaluru,Android,0,0,0,5,313,3977.84,1,0
TXN0000085,CUST02028,1761.08,19,Debit Card,Delhi,iOS,0,0,0,2,1001,2949.52,1,0
TXN0000086,CUST01496,3651.06,4,Credit Card,Kolkata,Web,1,0,1,4,18,1142.97,0,0
TXN0000087,CUST01163,7868.75,8,Debit Card,Chennai,Web,0,0,1,3,181,1923.02,1,0
TXN0000088,CUST01523,1483.43,15,UPI,Jaipur,iOS,0,0,0,2,10,284.8,0,0
TXN0000089,CUST00392,2239.33,22,Credit Card,Delhi,Android,0,0,0,5,944,4751.29,0,0
TXN0000090,CUST01699,6531.59,5,UPI,Delhi,Android,0,0,0,9,86,1022.22,0,1
TXN0000091,CUST00419,1575.83,2,Wallet,Bengaluru,Android,0,0,2,2,315,2419.17,0,0
TXN0000092,CUST02337,480.41,8,UPI,Bengaluru,Android,1,0,1,4,566,761.29,1,0
TXN0000093,CUST00379,15345.06,17,Debit Card,Mumbai,Web,0,0,2,4,2109,4511.11,0,0
TXN0000094,CUST01797,1125.27,12,UPI,Noida,Android,0,0,1,5,3000,1712.77,0,0
TXN0000095,CUST02279,2109.69,19,UPI,Noida,Android,0,1,1,5,1224,368.97,0,0
TXN0000096,CUST02089,5719.0,4,UPI,Pune,Android,0,0,1,5,462,2028.61,0,1
TXN0000097,CUST02183,979.51,8,UPI,Chennai,Android,1,0,1,2,85,1641.94,1,0
TXN0000098,CUST00201,656.99,10,Credit Card,Pune,Android,0,0,0,3,268,824.9,0,0
TXN0000099,CUST01864,2319.9,16,UPI,Delhi,Android,0,0,0,3,1202,2425.8,1,0
TXN0000100,CUST00780,299.61,17,UPI,Mumbai,Android,0,0,1,4,1887,1314.85,0,0
TXN0000101,CUST00503,1349.7,7,UPI,Kolkata,iOS,0,0,1,1,642,2624.9,0,0
TXN0000102,CUST02455,2299.81,22,Debit Card,Delhi,iOS,1,0,0,3,983,1054.41,0,0
TXN0000103,CUST01752,1374.15,11,UPI,Noida,Android,0,0,1,2,962,1311.29,0,0
TXN0000104,CUST00805,384.56,18,UPI,Bengaluru,iOS,0,0,1,3,1973,1577.19,1,0
TXN0000105,CUST02147,8863.7,15,Credit Card,Hyderabad,iOS,0,0,1,7,992,2045.65,0,0
TXN0000106,CUST01896,1996.36,9,Wallet,Kolkata,Android,0,0,1,9,270,1395.09,0,0
TXN0000107,CUST01571,7530.33,20,Wallet,Jaipur,Android,0,0,1,6,388,2644.14,1,0
TXN0000108,CUST00961,1387.84,19,Wallet,Kolkata,Web,1,0,1,4,168,531.75,1,0
TXN0000109,CUST01486,746.6,12,UPI,Mumbai,Android,0,0,2,5,101,5192.26,0,0
TXN0000110,CUST01029,2356.01,16,Debit Card,Chennai,Android,0,0,1,4,261,2895.59,1,0
TXN0000111,CUST00503,1450.63,9,Debit Card,Noida,Android,1,0,0,5,670,2761.76,0,0
TXN0000112,CUST00398,554.34,17,Wallet,Gurugram,iOS,0,0,0,6,540,1734.51,1,0
TXN0000113,CUST00871,7826.93,10,UPI,Chennai,iOS,0,0,0,4,836,990.88,0,0
TXN0000114,CUST00393,966.1,20,Wallet,Mumbai,Web,0,0,1,6,1349,2732.48,0,0
TXN0000115,CUST00207,285.8,9,UPI,Hyderabad,Android,1,0,0,6,31,2330.64,0,0
TXN0000116,CUST01039,6793.41,0,Credit Card,Chennai,Android,0,0,3,6,172,1204.43,0,0
TXN0000117,CUST01882,1087.07,10,UPI,Pune,iOS,0,0,1,7,909,1445.59,0,0
TXN0000118,CUST01485,980.16,8,UPI,Pune,Android,1,0,0,1,1538,1418.61,0,0
TXN0000119,CUST00864,308.02,14,Credit Card,Delhi,Android,0,0,1,2,1651,888.58,1,0
TXN0000120,CUST00564,10264.88,8,UPI,Pune,Android,0,0,0,5,122,2325.9,0,0
TXN0000121,CUST01021,495.74,19,Debit Card,Jaipur,Android,0,0,0,7,64,1289.23,0,0
TXN0000122,CUST00096,1908.34,9,Credit Card,Delhi,Web,0,1,3,3,1608,2066.41,1,1
TXN0000123,CUST01924,4483.51,18,Debit Card,Chennai,iOS,0,0,1,4,41,1803.68,0,0
TXN0000124,CUST01758,2744.24,16,UPI,Kolkata,Android,0,0,0,2,650,510.58,0,0
TXN0000125,CUST02279,1695.76,23,Net Banking,Noida,iOS,0,0,0,5,305,3357.34,0,0
TXN0000126,CUST01679,328.28,23,Debit Card,Chennai,iOS,0,0,0,3,195,6239.87,1,0
TXN0000127,CUST00541,800.96,20,UPI,Mumbai,Web,0,0,2,5,191,963.46,1,0
TXN0000128,CUST01060,2171.87,18,Debit Card,Bengaluru,Web,0,0,1,2,266,1540.83,0,0
TXN0000129,CUST01184,819.23,12,UPI,Kolkata,Android,0,0,0,3,270,4173.24,0,0
TXN0000130,CUST01723,2205.92,18,UPI,Jaipur,Web,0,0,2,2,1013,2224.65,0,0
TXN0000131,CUST01820,3559.18,22,Credit Card,Hyderabad,Android,0,0,0,3,455,492.27,1,0
TXN0000132,CUST01598,4712.83,1,Credit Card,Delhi,Android,0,0,1,9,1703,1339.53,0,0
TXN0000133,CUST00796,528.14,15,UPI,Bengaluru,Android,0,0,1,4,612,1235.19,0,0
TXN0000134,CUST01052,16190.63,9,UPI,Jaipur,Android,0,0,0,1,314,927.22,0,0
TXN0000135,CUST01644,3877.79,15,Net Banking,Mumbai,Web,0,0,0,5,456,1396.92,0,0
TXN0000136,CUST01364,1796.92,13,UPI,Gurugram,iOS,0,0,0,5,1682,2474.63,0,0
TXN0000137,CUST01982,5351.21,16,UPI,Delhi,iOS,1,0,0,5,1079,890.42,1,0
TXN0000138,CUST01355,19167.08,15,Net Banking,Gurugram,Web,0,0,1,4,1549,3147.74,0,0
TXN0000139,CUST01664,427.02,22,UPI,Jaipur,Android,1,0,1,4,738,3143.09,0,0
TXN0000140,CUST01530,1436.95,15,Debit Card,Chennai,Android,0,0,0,2,600,1280.41,0,0
TXN0000141,CUST02039,166.85,20,UPI,Pune,iOS,0,1,0,3,169,883.13,0,0
TXN0000142,CUST01497,2182.43,10,Credit Card,Pune,Web,0,0,0,8,261,3732.19,1,0
TXN0000143,CUST02238,2593.95,13,UPI,Pune,Web,0,0,0,2,35,442.81,0,0
TXN0000144,CUST01409,1730.87,14,Net Banking,Gurugram,Android,0,0,0,3,514,3118.28,0,0
TXN0000145,CUST01401,935.43,10,UPI,Gurugram,Web,0,0,0,4,612,2526.1,1,0
TXN0000146,CUST01307,231.84,12,Credit Card,Jaipur,Web,0,0,0,4,833,3342.22,0,0
TXN0000147,CUST00973,2615.15,16,Net Banking,Kolkata,Android,0,0,0,1,1162,297.82,0,0
TXN0000148,CUST01769,7715.42,16,Net Banking,Bengaluru,iOS,0,0,1,3,209,1681.49,0,0
TXN0000149,CUST01283,996.77,17,UPI,Kolkata,Android,1,0,2,9,116,894.0,0,0
TXN0000150,CUST00710,2795.04,11,Debit Card,Chennai,Android,0,0,1,5,74,1755.5,0,0
TXN0000151,CUST01480,375.18,10,UPI,Gurugram,Web,0,0,0,3,469,1927.74,1,0
TXN0000152,CUST01435,2843.4,16,Credit Card,Noida,iOS,1,0,0,1,186,5536.82,0,0
TXN0000153,CUST00649,1214.59,7,UPI,Jaipur,iOS,0,0,1,5,131,752.36,0,0
TXN0000154,CUST00318,839.77,9,UPI,Pune,Web,0,0,2,5,487,1016.66,0,0
TXN0000155,CUST01258,841.49,2,UPI,Chennai,Android,0,0,3,5,551,757.28,1,0
TXN0000156,CUST00684,1214.31,4,Credit Card,Jaipur,Android,0,0,2,5,90,2244.87,0,0
TXN0000157,CUST00664,2638.52,9,Credit Card,Mumbai,Android,0,0,0,3,445,4923.43,0,0
TXN0000158,CUST01999,484.63,0,UPI,Bengaluru,iOS,1,0,0,5,59,1670.58,0,0
TXN0000159,CUST01632,1210.06,9,Credit Card,Bengaluru,Web,0,0,0,4,930,1259.58,1,0
TXN0000160,CUST01496,1726.88,17,Net Banking,Hyderabad,iOS,0,0,1,3,530,3898.3,0,0
TXN0000161,CUST01137,599.74,3,Debit Card,Bengaluru,Web,0,1,0,2,545,2573.1,1,0
TXN0000162,CUST01854,10853.11,13,Credit Card,Kolkata,iOS,0,0,0,1,757,334.26,0,0
TXN0000163,CUST01521,766.66,21,Wallet,Pune,iOS,0,0,0,3,145,2787.27,0,0
TXN0000164,CUST02490,921.59,19,Credit Card,Noida,iOS,0,0,1,5,124,1244.19,0,0
TXN0000165,CUST00564,676.7,10,UPI,Mumbai,Web,1,1,1,3,225,732.39,0,0
TXN0000166,CUST01292,10872.83,21,Credit Card,Mumbai,Android,0,0,0,6,519,4054.23,0,0
TXN0000167,CUST01637,3128.93,11,UPI,Delhi,Android,0,0,0,3,1044,859.59,0,0
TXN0000168,CUST00699,705.53,4,Debit Card,Chennai,Android,1,0,0,5,2763,833.76,0,0
TXN0000169,CUST02161,5441.3,23,Net Banking,Kolkata,Web,0,0,1,2,1034,686.6,1,0
TXN0000170,CUST00002,2200.06,20,UPI,Gurugram,Web,0,0,0,4,407,782.63,0,0
TXN0000171,CUST00642,2328.07,13,UPI,Chennai,Android,0,0,0,4,514,957.5,0,0
TXN0000172,CUST02268,1275.46,17,UPI,Delhi,Web,0,0,1,2,199,1748.32,1,0
TXN0000173,CUST01590,850.76,17,UPI,Bengaluru,Android,0,0,0,4,151,953.38,1,0
TXN0000174,CUST00855,2523.26,8,Debit Card,Noida,Android,0,0,0,1,92,1356.01,0,0
TXN0000175,CUST01760,1043.62,8,Credit Card,Bengaluru,Web,0,0,0,5,437,1133.19,0,0
TXN0000176,CUST02433,11073.36,14,UPI,Kolkata,Android,0,1,1,4,116,1682.25,0,0
TXN0000177,CUST01662,505.86,21,Debit Card,Jaipur,Android,0,0,2,1,33,2805.27,0,0
TXN0000178,CUST01154,8364.06,0,UPI,Bengaluru,Android,0,0,0,1,119,1149.32,0,0
TXN0000179,CUST01077,1610.38,19,Net Banking,Mumbai,Android,0,0,1,6,292,1653.63,0,0
TXN0000180,CUST01708,2427.53,3,UPI,Jaipur,iOS,0,0,1,4,153,1184.84,1,0
TXN0000181,CUST01696,4141.03,14,Credit Card,Pune,Android,1,1,1,3,149,3156.09,0,0
TXN0000182,CUST01734,958.43,17,UPI,Mumbai,iOS,0,0,0,7,170,716.06,1,0
TXN0000183,CUST01440,4271.8,17,UPI,Jaipur,iOS,0,0,2,3,1296,6261.15,0,0
TXN0000184,CUST02295,120.06,3,Debit Card,Chennai,Android,1,0,1,1,51,772.01,1,0
TXN0000185,CUST00836,876.16,12,UPI,Chennai,iOS,1,0,0,5,233,4657.48,0,0
TXN0000186,CUST00203,714.43,16,Wallet,Chennai,Web,0,0,1,3,301,1063.4,0,0
TXN0000187,CUST00123,513.9,4,Credit Card,Pune,Android,0,0,0,3,197,1128.96,0,0
TXN0000188,CUST00401,1451.84,7,Wallet,Bengaluru,iOS,0,0,0,2,287,867.22,0,0
TXN0000189,CUST00767,2647.29,17,Net Banking,Jaipur,Web,0,0,1,3,595,975.63,1,0
TXN0000190,CUST00294,3634.41,15,UPI,Chennai,Android,0,0,1,4,90,804.55,0,0
TXN0000191,CUST02328,2290.26,8,Credit Card,Noida,Android,0,0,1,7,267,2059.28,0,0
TXN0000192,CUST00198,925.05,15,Debit Card,Hyderabad,Android,0,1,1,3,89,766.55,0,0
TXN0000193,CUST01931,2603.36,21,UPI,Chennai,iOS,1,0,0,7,786,385.82,1,0
TXN0000194,CUST02192,2038.21,0,Wallet,Delhi,Android,0,0,0,10,1190,794.72,1,0
TXN0000195,CUST00609,4589.83,17,Credit Card,Delhi,Android,0,0,2,4,485,1924.91,0,0
TXN0000196,CUST01148,3914.64,5,Debit Card,Noida,Android,0,0,2,4,36,3131.98,1,0
TXN0000197,CUST00187,1855.7,0,UPI,Mumbai,Android,0,0,1,4,352,5722.2,1,0
TXN0000198,CUST01795,733.84,8,Debit Card,Jaipur,iOS,0,0,0,6,326,2200.59,1,0
TXN0000199,CUST00660,936.91,13,UPI,Jaipur,iOS,0,0,0,2,961,4286.87,1,0
TXN0000200,CUST01956,1038.73,19,Debit Card,Kolkata,Android,0,0,1,2,34,3547.05,1,0
TXN0000201,CUST02451,1313.27,10,Credit Card,Kolkata,Android,0,0,0,2,2170,637.4,0,0
TXN0000202,CUST01370,2353.34,16,UPI,Gurugram,iOS,0,0,2,8,143,2776.49,0,0
TXN0000203,CUST01987,3680.18,12,Net Banking,Delhi,iOS,0,0,1,4,1030,1699.33,0,0
TXN0000204,CUST01535,1710.3,9,Debit Card,Mumbai,Web,0,0,1,5,941,5404.72,0,0
TXN0000205,CUST00147,1829.26,14,Net Banking,Delhi,Android,0,0,2,4,874,1028.8,0,0
TXN0000206,CUST01735,2077.35,19,UPI,Delhi,iOS,0,0,1,5,82,3346.49,0,0
TXN0000207,CUST01844,1074.53,20,Credit Card,Hyderabad,Android,1,0,0,7,51,4690.84,1,0
TXN0000208,CUST00489,713.48,20,Credit Card,Noida,Web,0,0,0,6,355,1788.12,1,0
TXN0000209,CUST01960,311.1,11,Debit Card,Jaipur,Android,0,0,2,3,805,3737.25,1,0
TXN0000210,CUST01664,898.2,19,UPI,Noida,iOS,0,0,0,7,685,856.08,0,0
TXN0000211,CUST02386,2889.06,9,UPI,Gurugram,Android,0,0,1,4,897,1938.5,1,1
TXN0000212,CUST00641,891.25,18,Wallet,Mumbai,Android,0,0,0,1,75,4458.02,0,0
TXN0000213,CUST01803,1419.04,22,UPI,Kolkata,Android,0,1,0,2,333,3322.96,0,0
TXN0000214,CUST01970,2869.73,0,Net Banking,Hyderabad,Android,0,0,1,5,374,1507.63,0,0
TXN0000215,CUST02199,3029.74,13,UPI,Bengaluru,Android,0,0,0,7,166,481.5,1,0
TXN0000216,CUST01439,611.56,17,Net Banking,Hyderabad,Android,0,0,1,1,515,575.29,1,0
TXN0000217,CUST01635,4878.54,18,Debit Card,Hyderabad,Android,1,0,0,1,25,649.74,1,0
TXN0000218,CUST00263,5557.44,8,Debit Card,Bengaluru,Android,0,0,2,1,896,1502.68,0,0
TXN0000219,CUST01788,581.55,23,UPI,Gurugram,iOS,0,0,0,1,145,1284.9,0,0
TXN0000220,CUST02192,789.74,16,Wallet,Noida,iOS,1,0,0,2,811,1139.25,0,0
TXN0000221,CUST02394,5923.2,8,Credit Card,Jaipur,Android,0,0,0,4,45,1428.68,0,0
TXN0000222,CUST00624,1554.16,0,Debit Card,Mumbai,Android,0,0,0,1,412,985.23,0,0
TXN0000223,CUST01017,195.54,19,UPI,Bengaluru,Android,0,0,0,3,150,1476.03,0,0
TXN0000224,CUST00881,444.02,5,Credit Card,Jaipur,Android,1,0,0,3,297,583.59,0,0
TXN0000225,CUST02050,1402.73,7,Wallet,Kolkata,Android,0,0,1,3,1297,2263.02,0,0
TXN0000226,CUST01328,562.56,16,UPI,Chennai,Android,0,1,1,4,355,9483.17,1,0
TXN0000227,CUST02302,1190.49,16,Debit Card,Delhi,Web,0,0,1,4,190,2556.68,0,0
TXN0000228,CUST00453,1859.27,17,UPI,Delhi,Web,0,0,0,4,217,7850.72,0,0
TXN0000229,CUST01184,7768.22,12,Wallet,Noida,Android,0,0,2,4,604,4393.96,0,0
TXN0000230,CUST02057,1346.26,19,Net Banking,Pune,iOS,0,0,2,3,804,882.43,0,0
TXN0000231,CUST01683,5261.04,23,UPI,Hyderabad,Android,1,0,0,3,25,1015.59,0,0
TXN0000232,CUST02256,7512.34,10,UPI,Bengaluru,Android,1,0,1,4,413,912.8,0,0
TXN0000233,CUST01155,7554.14,18,Credit Card,Gurugram,Web,0,0,0,5,327,6550.84,1,0
TXN0000234,CUST00404,2392.98,21,UPI,Gurugram,Android,1,0,0,7,294,3210.5,0,0
TXN0000235,CUST02200,252.71,17,Credit Card,Hyderabad,iOS,1,1,2,5,315,1753.34,0,0
TXN0000236,CUST02102,2853.69,17,UPI,Noida,Android,0,1,0,7,737,1185.58,1,0
TXN0000237,CUST01697,5135.55,9,UPI,Hyderabad,iOS,1,1,0,1,3000,322.22,1,0
TXN0000238,CUST00628,1659.84,15,UPI,Noida,Android,0,0,0,8,2229,1803.98,0,0
TXN0000239,CUST00587,10302.33,15,UPI,Kolkata,iOS,0,0,1,1,735,1906.36,0,0
TXN0000240,CUST01649,4252.98,18,UPI,Pune,Android,0,0,1,4,166,1114.39,0,0
TXN0000241,CUST01444,3177.39,23,Credit Card,Kolkata,Android,0,0,1,1,10,998.04,0,0
TXN0000242,CUST01446,5334.35,1,Credit Card,Pune,Web,0,0,0,5,899,2225.54,0,0
TXN0000243,CUST00104,2512.19,4,UPI,Pune,iOS,0,0,0,3,393,1233.93,0,0
TXN0000244,CUST00254,148.82,5,Credit Card,Kolkata,Web,0,0,1,1,196,1182.61,0,0
TXN0000245,CUST01497,1092.7,18,Wallet,Hyderabad,Android,0,1,0,7,327,1662.68,0,0
TXN0000246,CUST00099,5959.31,7,UPI,Chennai,Android,1,0,0,3,822,2216.63,0,0
TXN0000247,CUST02201,802.68,16,Debit Card,Gurugram,Android,0,0,0,4,28,2062.41,0,0
TXN0000248,CUST01885,1439.53,11,Debit Card,Mumbai,Android,0,0,0,2,427,1605.63,1,1
TXN0000249,CUST01920,633.15,13,UPI,Gurugram,iOS,0,0,1,4,286,2551.41,0,0
TXN0000250,CUST00878,10715.69,9,UPI,Chennai,Web,0,0,0,3,139,747.4,0,0
TXN0000251,CUST00338,9672.43,20,Credit Card,Jaipur,Web,0,0,0,1,1349,1651.44,1,0
TXN0000252,CUST00957,743.73,16,Debit Card,Delhi,Android,0,0,3,5,767,4972.17,1,0
TXN0000253,CUST01705,2085.66,22,UPI,Kolkata,Android,0,0,1,2,842,441.18,1,0
TXN0000254,CUST00161,911.46,16,Net Banking,Chennai,Web,0,0,0,2,692,1833.06,1,0
TXN0000255,CUST01604,3329.2,7,Debit Card,Bengaluru,iOS,0,0,0,4,221,1192.06,1,0
TXN0000256,CUST00398,2996.57,8,UPI,Bengaluru,Web,0,1,0,3,17,1480.38,0,0
TXN0000257,CUST01301,4053.14,23,UPI,Delhi,iOS,0,0,2,7,546,2735.4,0,0
TXN0000258,CUST00816,2508.55,18,UPI,Kolkata,Web,0,0,1,2,241,1485.98,1,0
TXN0000259,CUST01528,33892.47,2,Credit Card,Mumbai,Android,0,0,1,1,193,2629.8,0,0
TXN0000260,CUST01920,643.95,18,Credit Card,Noida,iOS,0,0,0,6,679,1023.6,0,0
TXN0000261,CUST01416,325.36,12,Debit Card,Hyderabad,Android,1,0,1,3,262,1227.44,1,0
TXN0000262,CUST01159,1214.94,10,Debit Card,Hyderabad,iOS,1,0,0,1,2215,1428.75,0,0
TXN0000263,CUST01219,375.24,8,UPI,Chennai,iOS,0,0,0,3,1417,2521.42,0,0
